id;Esboço ou foto;Proveniência;Nome geográfico|taxonomy|multiple|status_public;Stam;Descrição;Denominação;Número de inventário;Grupo étnico;Usado;Local|taxonomy|multiple|status_public;Fotógrafo|taxonomy|multiple|status_public;Coletado;País|taxonomy|multiple|status_public;Origem|taxonomy|multiple|status_public;Coletado por;Comprimento;Resumo;Palavras-chave|taxonomy|multiple|status_public;URL;Palavras-chave;documentação de imagem;foto digital não;Largura;Categoria de material|taxonomy|multiple|status_public;Categoria de material2|taxonomy|multiple|status_public;papel;Ação de conservação;Mudar para;requisitos de montagem;Texto da exposição;Exposição, parte de / incluída em;Exposição, parte do estande / incluída;Juntos, materiais;Texto publicado;Juntos, texto da exposição, inglês;Exposição / incluído em;Palavras-chave, espanhol;Área de uso;Nota: Descrição;Avaliação da condição;Observação;Exposição / anterior;Original: publ;Original: negativo não;Original: desenho não;Materiais / fabricação;Texto da exposição, Encruzilhada;Texto da exposição, Crossroads, eng;special_document;special_attachments
0;retrato falado;Rio Moruca, fr. Guiana. [[Haga]];América;Arawak;makuaripiska. (Makuari é uma festa mágica da morte, onde, entre outras coisas, ocorre a chicotada dos participantes);chicote;1927.07.0143;Arowak, Arawak, Arawak;Arawak - http://www.wikidata.org/entity/Q117244;Br. Guiana/Rio Moruca, segundo o Gen. cat./JO;Schwetz, Ferenc;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;180 centímetros;1927.07.0143, Walter Roth, fr. Guiana/Rio Moruca, segundo o Gen. cat./JO, Rio Moruca, fr. Guiana. [[Haga]], Rio Morucca, Guiana, esboço, Arawak, Guiana Britânica, Guiana Britânica, América, Guiana, Arowak, Arawaks;N / D;https://collections.smvk.se/carlotta-vkm/web/object/14813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;file:0-1849972.png;
1;retrato falado;;Guiana Britânica;Waiwai;Pulseira de pérolas e penas. Para mulheres.;pulseira;1927.07.0209;Mawayana, Wai-wai, Hixkaryana, Wai wai, Karapayana, Uaiuais, Wai-Wai;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;23 cm;1927.07.0209, foto digital, V: 1927-07-0209, Walter Roth, Br.Guiana, esboço, Waiwai, Guiana Britânica, América, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai -wai, Karapayana;jóias||contas de vidro||cascas de sementes||Ramphastidae: Pteroglossus aracari / viridis (possivelmente Ramphastos tucanus / vitellinus)||fio de fibra vegetal||pena corporal||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37812;pulseira;foto digital;V: 1927-07-0209;;;;;;;;;;;;;;;;;;;;;;;;;;;file:1-402290.png;1-604709.png
2;retrato falado;Rio Moruca, Guiana;América;Arawak;makuaripiska. (Makuari é uma festa mágica da morte, onde, entre outras coisas, ocorre a chicotada dos participantes);Makuari-chicote.;1927.07.0144;Arawaks, Arowak, Arawak;Arawak - http://www.wikidata.org/entity/Q117244;Br. Guiana/Rio Moruca, segundo o Gen. cat./JO;Anderzen, Hannes;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;135 centímetros;1927.07.0144, Walter Roth, fr. Guiana/Rio Moruca, segundo o Gen. cat./JO, Rio Moruca, Guiana, Rio Moruca, fr. Guiana. [[Haga]], esboço, Arawak, América, Guiana Britânica, Guiana Britânica, Guiana, Arowak, Arawaks;N / D;https://collections.smvk.se/carlotta-vkm/web/object/14814;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;file:2-2030928.png;2-2030933.png
3;retrato falado;;Guiana Britânica;Waiwai;Ferramentas com as quais o tubo de seta é comprimido no ponto de inserção da ponta.;Engrenagem.;1927.07.0261;Wai-Wai, Uaiuais, Hixkaryana, Mawayana, Karapayana, Wai-wai, Wai wai;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Schwetz, Ferenc;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0261, Walter Roth, Br.Guiana, sketch, Waiwai, Guiana Britânica, Guiana Britânica, América, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai, Karapayana;ferramentas||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37934;;;;40 cm;;;;;;;;;;;;;;;;;;;;;;;;;;file:3-1880174.png;
4;retrato falado;;América;Waiwai;Ornamento de quadril de penas para mulheres. Emissão em falta em abril de 1950.;enfeite de quadril;1927.07.0208;Wai-Wai, Karapayana, Uaiuais, Wai wai, Mawayana, Wai-wai, Hixkaryana;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Faltam informações sobre o autor;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0208, foto digital, 1927-07-0208, Walter Roth, Br.Guiana, esboço, Waiwai, Guiana Britânica, Guiana Britânica, América, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai , Karapayana;Etnografia||pena de cauda||pena do corpo||cera||coberturas das asas||penas do corpo||Psittacidae: Ara macao||vestuário e acessórios||corda de algodão||Icteridae: Psarocolius sp.||Cotingidae: Haematoderus militaris;https://collections.smvk.se/carlotta-vkm/web/object/37811;;foto digital;1927-07-0208;60 cm;;;;;;;;;;;;;;;;;;;;;;;;;;file:4-604705.png;4-1209926.png
5;retrato falado;;Guiana Britânica;Wai-wai;Cesto com tampa. "Padrão de macaco". Ornamentos de penas pendentes.;cesta;1927.07.0013;Hixkaryana, Wai wai, Uaiuais, Wai-wai, Wai-Wai, Mawayana, Karapayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Guiana;Faltam informações sobre o autor;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0013, fotografia digital, 1927-07-0013, Walter Roth, Guiana, esboço, Wai-wai, Guiana Britânica, América, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;Psittacidae: Amazona amazonica||armazenamento||Etnografia||Psittacidae: Amazona farinosa||Psittacidae: Ara macao||Thraupidae: Euphonia cayennensis||fio de fibra vegetal||pena de cauda||pena de braço||pena do corpo||coberturas das asas;https://collections.smvk.se/carlotta-vkm/web/object/37379;cesta;foto digital;1927-07-0013;23,5 centímetros;;;;;;;;;;;;;;;;;;;;;;;;;;file:5-1155425.png;5-402154.png
6;retrato falado;;América;Waiwai;Ferramentas com as quais o tubo de seta é comprimido no ponto de inserção da ponta.;Engrenagem.;1927.07.0260;Hixkaryana, Karapayana, Wai-wai, Wai wai, Wai-Wai, Uaiuais, Mawayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Br.Guiana;Schwetz, Ferenc;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0260, Walter Roth, Br.Guiana, sketch, Waiwai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Wai-wai, Karapayana;ferramentas||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37930;;;;41 centímetros;;;;;;;;;;;;;;;;;;;;;;;;;;file:6-1880170.png;
7;retrato falado;;Guiana Britânica;Wai-wai;Cesto com tampa. Padrões de veados e sapos. Ornamentos de penas pendentes.;cesta;1927.07.0012;Karapayana, Wai-Wai, Wai wai, Wai-wai, Mawayana, Hixkaryana, Uaiuais;Waiwai - http://www.wikidata.org/entity/Q1853257;Guiana;Faltam informações sobre o autor;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0012, foto digital, 1927-07-0012, Walter Roth, Guiana, esboço, Wai-wai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;fio de fibra vegetal||pena do corpo||Tecelagem de tiras de folhas de palmeira||Psittacidae: Ara ararauna||Etnografia||armazenamento||Psittacidae: Ara macao;https://collections.smvk.se/carlotta-vkm/web/object/37378;cesta;foto digital;1927-07-0012;20,5 centímetros;;;;;;;;;;;;;;;;;;;;;;;;;;file:7-1155421.png;
8;retrato falado;;Guiana Britânica;Wai-wai;Cesto sem tampa.;cesta;1927.07.0010;Wai-Wai, Wai wai, Hixkaryana, Karapayana, Uaiuais, Wai-wai, Mawayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Guiana;Bela Adormecida, Beatriz;Roth, Walter Edmundo;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0010, Walter Roth, Guiana, esboço, Wai-wai, América, Guiana Britânica, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;armazenamento||Etnografia;https://collections.smvk.se/carlotta-vkm/web/object/37375;cesta;;;30 cm;espécime de planta;parte da planta;;;;;;;;;;;;;;;;;;;;;;;;file:8-15374240.png;8-15374245.png||8-15374235.png||8-15374195.png||8-15374220.png||8-15374230.png||8-15374225.png||8-15374200.png||8-15374215.png||8-15374205.png||8-15374210.png
9;retrato falado;;Guiana Britânica;Wai-wai;Cesto com tampa. Trançado em "padrão de aranha". Ornamentos de penas pendentes.;cesta;1927.07.0011;Mawayana, Wai-Wai, Uaiuais, Wai-wai, Hixkaryana, Wai wai, Karapayana;Waiwai - http://www.wikidata.org/entity/Q1853257;Guiana;Faltam informações sobre o autor;Roth, Walter Edmund - http://kulturarvsdata.se/SMVK-EM/name/3248501;Guiana;América do Sul Guiana;Walter Roth;;1927.07.0011, fotografia digital, 1927-07-0011, Walter Roth, Guiana, esboço, Wai-wai, Guiana Britânica, América, Guiana Britânica, Guiana, Wai-Wai, Wai wai, Hixkaryana, Mawayana, Uaiuais, Karapayana;armazenamento||Psittacidae: Ara macao||Psittacidae: Amazona amazonica||Etnografia||Psittacidae: Amazona farinosa||Caneta caudal||Tecelagem de tiras de folhas de palmeira;https://collections.smvk.se/carlotta-vkm/web/object/37376;cesta;foto digital;1927-07-0011;21 cm;;;;;;;;;;;;;;;;;;;;;;;;;;file:9-1155417.png;
